label,insect_id,segment,start,end,absBandRatio_50_100,absBandRatio_100_150,absBandRatio_150_200,absBandRatio_200_250,absBandRatio_250_300,absBandRatio_300_350,absBandRatio_350_400,absBandRatio_400_450,absBandRatio_450_500,absBandRatio_500_600,absBandRatio_600_800,bandRatio_150_350,bandRatio_200_300,bandRatio_350_800,lowHighRatio_150_350_to_350_800,spectral_entropy_mean,spectral_entropy_median,spectral_entropy_std,spectral_flatness_mean,spectral_flatness_median,spectral_flatness_std,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_std,spectral_bandwidth_max,spectral_bandwidth_p95,ridge_freq_mean,ridge_freq_median,ridge_freq_std,ridge_freq_range,ridge_freq_mean_abs_diff,mfcc_00_mean,mfcc_00_std,mfcc_00_median,mfcc_01_mean,mfcc_01_std,mfcc_01_median,mfcc_02_mean,mfcc_02_std,mfcc_02_median,mfcc_03_mean,mfcc_03_std,mfcc_03_median,mfcc_04_mean,mfcc_04_std,mfcc_04_median,mfcc_05_mean,mfcc_05_std,mfcc_05_median,mfcc_06_mean,mfcc_06_std,mfcc_06_median,mfcc_07_mean,mfcc_07_std,mfcc_07_median
bee,bee_01,3,235,264,0.059641285,0.073066755,0.088969119,0.076485995,0.111471652,0.115801813,0.111480474,0.099021717,0.06278446,0.11627287,0.08500386,0.392728579,0.187957647,0.474563381,0.827557697,0.937260192,0.941844823,0.048716258,0.725456657,0.740415388,0.212856628,361.4861114,375.8066702,87.03228523,165.2606658,163.8328931,34.97538383,226.9585107,217.8291412,330.6597705,329.919764,190.6764448,739.02027,75.28169147,10.72537167,4.96241363,12.16404254,1.45770618,2.502614206,0.797907282,-1.451696212,1.481191481,-0.907760804,-0.073474605,0.666024297,-0.109053527,-0.192280312,0.410649746,-0.155405518,-0.004722098,0.227565934,-0.018797729,-0.095652657,0.150390257,-0.069594175,0.000332519,0.096446649,0.003001374
bee,bee_01,3,245,274,0.075957406,0.086999837,0.097908563,0.078622993,0.10809223,0.10730634,0.101294617,0.090068072,0.057707273,0.109048689,0.08699398,0.391930126,0.186715223,0.445112631,0.880518994,0.942724623,0.957513536,0.050812438,0.757665154,0.833866884,0.215182065,352.5286683,351.9228064,88.52442445,176.4583139,190.4546987,35.44797627,222.9869857,217.3044599,293.1660852,263.935811,215.7384184,739.02027,90.57797142,10.09232024,4.862221022,9.9389755,1.594752129,2.442588991,1.316981971,-0.984629403,1.326902084,-0.537835013,-0.144367978,0.58621624,-0.196125551,-0.165828231,0.340076503,-0.101100011,0.005899983,0.18458841,-0.004418133,-0.081893667,0.130655062,-0.052092245,-0.005172994,0.090475089,-0.000328779
bee,bee_01,3,260,289,0.116731902,0.1354206,0.147173231,0.108629165,0.129184523,0.101925795,0.073395151,0.050594879,0.027697425,0.050938211,0.058309118,0.486912714,0.237813688,0.260934784,1.866032216,0.927129406,0.951328563,0.059908031,0.706840812,0.796347546,0.237461718,300.7764187,301.6500072,84.0495762,170.4841401,172.0374631,34.86136567,227.4292239,212.4205983,213.738673,197.951858,180.2144211,739.02027,81.18025695,11.2385544,4.993717427,10.77413641,2.857008781,2.394131698,2.475330145,-0.631670171,0.667329317,-0.603985357,-0.456277504,0.496133662,-0.343013832,-0.064205076,0.297219956,-0.082047371,-0.004745141,0.143357516,0.016203649,-0.091586367,0.114763105,-0.074492157,-0.009533335,0.088439498,-0.003056777
bee,bee_01,3,275,304,0.113864704,0.133290027,0.146185955,0.108707088,0.130117612,0.103247942,0.074550695,0.051338515,0.028015233,0.051386186,0.059296043,0.488258597,0.2388247,0.264586672,1.845363541,0.940412156,0.960911902,0.059509451,0.760644193,0.839413996,0.236334408,341.230924,341.4194751,99.46017132,178.5183974,179.822263,34.70213418,229.6349712,219.498296,304.2661894,250.73902,231.6183346,739.02027,97.07639104,9.249767658,5.805561544,8.022630599,2.045569302,2.612214822,1.587566805,-0.578417359,0.665403231,-0.5416119,-0.378857074,0.498652092,-0.26911453,-0.075500673,0.245307399,-0.096330063,-0.013989376,0.131255634,-0.015274154,-0.081954698,0.119371988,-0.060802708,-0.009045288,0.075520089,-0.008328751
bee,bee_01,3,1250,1279,0.133175737,0.154889462,0.165670009,0.118616966,0.13461036,0.098622177,0.064466728,0.039773277,0.019890069,0.033929826,0.036355389,0.517519512,0.253227326,0.194415289,2.661928047,0.934134693,0.945776988,0.055742277,0.729945314,0.77941672,0.231941034,310.3649219,295.3225714,85.44233338,175.54933,185.0804011,34.48208042,233.5016908,215.2429039,218.4253836,197.951858,174.768685,739.02027,74.68183747,9.623269015,5.567120425,8.355690619,2.644707583,2.453017063,2.560392837,-0.637261675,0.7038926,-0.549766922,-0.360214275,0.475750594,-0.310422754,-0.063532865,0.252051522,-0.106689185,-0.022794138,0.145602557,-0.02040109,-0.074240661,0.112691956,-0.053076133,-0.002183206,0.074701966,-0.004836941
bee,bee_01,3,1265,1294,0.146757109,0.166755815,0.173697253,0.121136909,0.133335562,0.093648457,0.058174229,0.033962285,0.016302201,0.027232483,0.028997697,0.521818181,0.254472471,0.164668894,3.168893454,0.895353829,0.895772991,0.054060401,0.574991862,0.594902176,0.225112551,252.319789,243.9790724,50.73899957,151.8903656,156.6633235,33.91494808,226.9006855,201.3383192,153.1814379,171.558277,69.34798601,369.510135,60.68524142,12.68633373,4.864617079,12.69871699,4.322475051,2.10509112,4.012583968,-0.682470874,0.834724249,-0.620064583,-0.530265491,0.54750663,-0.471529931,0.003646138,0.327433321,-0.042949254,0.005047624,0.185424933,0.023518402,-0.104796438,0.137058582,-0.069389141,0.017127086,0.115875305,0.014099373
bee,bee_01,3,1280,1309,0.167410758,0.177050701,0.172836193,0.114968375,0.121982255,0.083330502,0.051672242,0.031329434,0.016021419,0.029100339,0.034297783,0.493117325,0.23695063,0.162421217,3.036040083,0.887169699,0.884051396,0.052207212,0.558743442,0.561818278,0.204329353,240.2688192,234.8262272,46.02095074,151.8461183,151.6840503,31.33222596,223.0480176,199.9733739,128.3912051,145.164696,62.6619721,290.329392,57.78594658,12.2368922,4.183719694,11.73803498,4.435780328,1.828547337,4.291486239,-0.383773937,0.7687377,-0.418198564,-0.524177984,0.538210288,-0.428068225,-0.058566616,0.31049125,-0.07053565,0.054682574,0.180961932,0.055555757,-0.087881861,0.123835375,-0.05681366,-0.007230155,0.105485591,0.003743871
bee,bee_01,3,1325,1354,0.084149455,0.100832876,0.115735873,0.092230516,0.123206124,0.116493884,0.103738472,0.086301847,0.051471735,0.083415239,0.04242398,0.447666396,0.21543664,0.367351273,1.218633033,0.900468116,0.898879566,0.05245673,0.561442912,0.548098136,0.231000347,296.7661276,295.7851462,85.54165044,140.8519982,130.894464,33.50563002,229.8606804,207.314116,238.2822367,224.345439,126.8895211,488.28125,56.2863112,15.685137,6.559787175,17.10914979,3.211535288,3.231727752,3.278880476,-1.822348982,1.57886512,-1.757605971,-0.010969554,0.736709593,-0.074883456,-0.138608036,0.447102103,-0.122071152,-0.040124727,0.289780371,-0.025790538,-0.065878055,0.176983335,-0.042931205,-0.006306082,0.119189298,-0.001154454
bee,bee_01,3,1340,1369,0.121281276,0.144933186,0.160279554,0.118826846,0.140484551,0.108534969,0.074682778,0.047273129,0.022998972,0.034001785,0.026702953,0.528125921,0.259311398,0.205659617,2.567961219,0.878788029,0.874202268,0.050313409,0.47435502,0.434734133,0.214953317,248.9469192,240.3478125,57.24147382,131.8363837,131.0892001,29.21833457,227.748745,184.927967,188.7017713,184.755068,86.159567,422.297297,46.98857242,17.37828297,4.37262471,18.37991463,4.964416509,2.476283777,5.012436983,-1.568752154,1.358039931,-1.794147262,-0.331349637,0.705013641,-0.286210464,0.00293762,0.445388655,-0.043361717,-0.087132806,0.283706111,-0.042835273,-0.078123444,0.203598845,-0.068631071,0.006485151,0.145858528,0.00922703
bee,bee_01,3,1370,1399,0.147261238,0.1570229,0.156654414,0.107785442,0.120400952,0.089507842,0.062073526,0.042431207,0.023515136,0.044064028,0.049283316,0.474348651,0.228186394,0.221367212,2.142813503,0.896278293,0.890267845,0.054585627,0.593535659,0.564322927,0.211295648,250.4089955,236.8230126,53.82966623,154.7613486,157.5537721,31.70252292,228.9452387,204.9768349,143.4380131,171.558277,74.5440979,250.73902,51.88738103,12.79037667,4.781192958,11.98721668,4.082804464,1.879173436,4.249874865,-0.463285582,0.667910417,-0.477275667,-0.518467773,0.599554645,-0.363223168,-0.071058515,0.23121355,-0.084208388,0.083106874,0.169070925,0.059056428,-0.114571953,0.134913633,-0.071625404,-0.011119867,0.096815818,0.015803243
